ym,hot_nogi,hot_sisl,vhot_nogi,vhot_sisl,ehot_nogi,ehot_sisl,trop_nogi,trop_sisl,germ_nogi,germ_sisl,tmax_nogi,tmax_sisl,hot_gg,vhot_gg,ehot_gg,tmax_gg,hot_gw,vhot_gw,ehot_gw,tmax_gw,hot_gb,vhot_gb,ehot_gb,tmax_gb,hot_cn,vhot_cn,ehot_cn,tmax_cn
2017-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0546281362007175,4.407229278840266,0.0,0.0,0.0,3.3896774193548382,0.0,0.0,0.0,1.7812903225806451,0.0,0.0,0.0,5.459139784946237,0.0,0.0,0.0,4.390322580645162
2017-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.961007109788359,6.162084188306328,0.0,0.0,0.0,5.304285714285714,0.0,0.0,0.0,3.793571428571428,0.0,0.0,0.0,7.83452380952381,0.0,0.0,0.0,5.915178571428571
2017-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.180202508960573,12.405054988363238,0.0,0.0,0.0,12.710967741935484,0.0,0.0,0.0,9.845161290322581,0.0,0.0,0.0,13.62043010752688,0.0,0.0,0.0,12.05
2017-04,0.16527777777777777,0.06240713224368499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.006381944444442,19.918119255957297,0.0,0.0,0.0,20.406666666666666,0.0,0.0,0.0,18.57,1.0,0.0,0.0,21.74,0.0,0.0,0.0,19.289166666666667
2017-05,2.3463425925925927,1.3579494799405645,0.20324074074074072,0.1267954432887568,0.0,0.0,0.07268518518518517,0.03582631665841175,0.20046296296296293,0.09245501073138516,25.207659348864997,25.031087305011,1.4,0.0,0.0,25.63483870967742,2.0,0.0,0.0,23.961290322580645,7.0,1.0,0.0,27.149462365591393,0.25,0.0,0.0,24.342741935483872
2017-06,9.948425925925925,8.896054152220572,2.1750925925925926,1.4148588410104013,0.4447222222222222,0.17563150074294206,4.192361111111111,4.113571074789499,3.598842592592593,2.2711738484398216,28.111230246913582,28.017920532716968,12.6,2.2,0.2,29.00866666666667,7.8,1.6,0.2,26.613999999999997,15.666666666666666,5.666666666666667,2.0,30.036666666666665,6.5,0.5,0.0,27.393333333333334
2017-07,16.15611111111111,16.257355126300148,4.968935185185185,3.6891365362390625,0.5326851851851852,0.2507511969621925,28.661805555555556,30.476423972263497,22.816481481481485,24.303120356612183,29.995280913978494,30.063465624950073,17.2,4.4,0.2,30.238709677419354,11.6,3.2,0.2,28.55935483870968,20.333333333333332,11.666666666666666,2.0,31.261290322580646,14.5,1.75,0.0,29.708870967741937
2017-08,14.06587962962963,15.224517087667161,5.305324074074074,5.493726267128942,1.142638888888889,1.3978041934951297,22.439351851851853,24.380089153046065,15.773981481481481,17.880600957569754,29.21991397849462,29.718909179994352,13.6,6.0,1.0,29.44451612903226,7.6,3.0,0.4,26.91225806451613,17.333333333333332,6.333333333333333,1.6666666666666667,30.14516129032258,14.75,5.25,1.25,29.62258064516129
2017-09,0.40388888888888885,0.49536073964008587,0.0,0.0,0.0,0.0,1.2983796296296297,1.11053326729404,0.0,0.0,25.983326234567905,26.367364371801226,0.6,0.0,0.0,26.78066666666667,0.0,0.0,0.0,23.821333333333335,0.0,0.0,0.0,26.47888888888889,0.5,0.0,0.0,26.171666666666667
2017-10,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0629024269440317,0.0,0.0,20.618093787335724,21.04882753625504,0.0,0.0,0.0,21.374193548387098,0.0,0.0,0.0,18.39161290322581,0.0,0.0,0.0,20.988172043010753,0.0,0.0,0.0,20.85322580645161
2017-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.329000462962963,11.748292719167905,0.0,0.0,0.0,10.602666666666668,0.0,0.0,0.0,8.991333333333333,0.0,0.0,0.0,12.786666666666667,0.0,0.0,0.0,11.7425
2017-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.139414053166069,3.9089895189250505,0.0,0.0,0.0,1.9832258064516128,0.0,0.0,0.0,0.48838709677419345,0.0,0.0,0.0,4.739784946236559,0.0,0.0,0.0,4.361801075268818
2018-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47332243130227,1.7825182806350424,0.0,0.0,0.0,0.5496774193548387,0.0,0.0,0.0,-0.5761290322580646,0.0,0.0,0.0,2.986021505376344,0.0,0.0,0.0,1.8330645161290322
2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.384918981481481,4.656975872072454,0.0,0.0,0.0,3.8364285714285713,0.0,0.0,0.0,2.0064285714285712,0.0,0.0,0.0,6.329761904761905,0.0,0.0,0.0,4.4660714285714285
2018-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.59086768219833,13.774151368451324,0.0,0.0,0.0,13.926451612903227,0.0,0.0,0.0,11.58,0.0,0.0,0.0,15.16774193548387,0.0,0.0,0.0,13.417741935483871
2018-04,0.3333333333333333,0.1591546970447416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.089614969135802,19.04334582576633,0.0,0.0,0.0,19.259333333333334,0.0,0.0,0.0,17.674,2.0,0.0,0.0,21.061111111111114,0.0,0.0,0.0,18.5075
2018-05,0.8792592592592592,0.5429090308733697,0.0,0.0,0.0,0.0,0.6763425925925926,1.0327059600462274,0.17083333333333334,0.13108799735842824,23.26825238948626,23.34705555289268,0.6,0.0,0.0,23.62,1.2,0.0,0.0,22.016129032258064,2.3333333333333335,0.0,0.0,24.784946236559136,0.0,0.0,0.0,23.029032258064515
2018-06,8.525925925925925,7.25260029717682,1.3947685185185186,0.8419844807660558,0.05509259259259259,0.020802377414561663,3.7696759259259256,3.9903417533432393,2.399166666666667,1.7027571404985968,27.87381574074074,27.892000880523913,9.0,1.6,0.0,28.587333333333333,8.0,1.2,0.0,27.083999999999996,14.666666666666666,3.0,0.3333333333333333,28.822222222222223,5.5,0.25,0.0,27.58
2018-07,21.463101851851853,22.3765725606736,15.066712962962962,14.293957404655771,7.820787037037037,7.179610368169061,25.59263888888889,27.317005118045238,21.95,23.474525342578833,31.47964336917563,31.75892110967316,22.6,16.0,8.6,31.972903225806455,18.6,12.4,6.0,30.08774193548387,22.0,21.333333333333332,14.0,32.578494623655914,22.25,12.25,5.75,31.593548387096774
2018-08,22.45611111111111,23.647119035826318,15.100185185185182,16.630972428595015,9.379907407407408,9.73547961036817,25.319351851851852,27.19656595674426,22.23486111111111,24.285669473336633,32.261350955794505,32.69197462812954,24.4,17.2,11.2,33.012903225806454,16.4,10.4,7.2,30.35612903225806,25.0,17.333333333333332,12.666666666666666,33.159139784946234,23.5,17.0,9.5,32.604838709677416
