unit,county,eup,qty_t,n_months,active_months,gap_max,winter_share,summer_share,spring_share,autumn_share,cv_month,peak_month,min_share,price,type
완주군·운주면,완주군,운주면,184.024,82,12,0,18.45411468069382,15.078468025909661,21.18854062513585,16.55870973351302,0.29816303814508227,6,5.4253792983523885,3503.871808666261,시설
순창군·(미상),순창군,(미상),149.14,45,12,0,22.436636717178487,9.316078852085289,26.33230521657503,11.921684323454471,0.44103363044151506,4,2.824192034330159,3425.7336154016357,시설
고창군·고창읍,고창군,고창읍,138.025,77,12,0,31.32765803296504,10.384350661112117,15.359536315884803,12.307915232747689,0.41151019442036585,3,4.089114290889332,3566.166693055606,시설
장수군·산서면,장수군,산서면,106.4003,86,12,0,12.825151808782495,30.761191462806025,12.740565581112085,21.92691186021092,0.576639601407394,8,1.4417252582934448,5199.200880683607,시설
남원시·산동면,남원시,산동면,80.67,46,12,0,37.5009297136482,7.360852857319944,24.08330234287839,4.7080699144663445,0.6854454750315566,3,1.780091731746622,3720.416438093467,시설
부안군·부안읍,부안군,부안읍,80.527,61,12,0,5.841518993629467,55.453450395519525,11.032324561948167,10.714418766376497,1.2929002276997794,7,0.5066623616923517,4812.895782333875,시설(추정)
김제시·백구면,김제시,백구면,72.14,79,12,0,21.73274189076795,16.345993900748546,22.72026614915442,11.884530080399221,0.3386823903750564,5,4.6077072359301345,2999.3019591488774,시설
정읍시·수성동,정읍시,수성동,67.0984,70,12,0,15.211391031678847,12.464231635925746,41.63124605057647,6.335769556353059,0.7464826833287055,5,1.9183765931825505,1815.5498725155892,시설
익산시·여산면,익산시,여산면,66.992,77,12,0,23.023644614282304,22.10413183663721,16.24671602579413,14.915213756866493,0.28552090226452875,8,5.79770718891808,3783.4186658705516,시설
남원시·산내면,남원시,산내면,64.561,54,12,0,39.680302349715774,7.843744675578137,22.719598519229876,4.812502904230109,0.5675450092978965,1,2.041480150555289,4959.60806736265,시설
임실군·(미상),임실군,(미상),61.43,42,12,0,6.908676542405988,73.46247761679959,7.051929024906396,8.517011232296921,1.628995254182444,7,1.132996907048673,5133.111001579034,시설(추정)
