variety,wk,산지,물량t,중도매,소매,도매배율,소매배율,소매_중도매,농가몫%,ym
적상추,2026-07-27,5819.759690781468,63.767199999999995,9499.0,14812.6,1.6321979780447755,2.5452253678898877,1.5593851984419413,39.28925165589746,2026-07
적상추,2026-08-03,4991.832690644847,75.3574,9968.0,14756.6,1.9968617976081102,2.956148756278475,1.4803972712680578,33.82779699012542,2026-08
적상추,2026-08-10,6268.184141055046,6.104,9606.0,16302.2,1.5325012449910478,2.600785113064029,1.6970851551113888,38.449927868968885,2026-08
청상추,2025-08-18,8029.435728219781,159.25,10923.333333333334,17633.666666666668,1.3604110803132567,2.1961277558636434,1.614311870613366,45.534691564732874,2025-08
청상추,2025-08-25,7258.578064158846,158.996,10853.0,17598.4,1.495196428841837,2.4244968979388357,1.621524002579932,41.24567042548667,2025-08
청상추,2025-09-01,7970.38126336281,153.1302,10752.0,17348.6,1.3489944388762636,2.1766336423259625,1.6135230654761903,45.94250408311225,2025-09
청상추,2025-09-08,8838.86628750953,154.774,11885.0,18143.4,1.34462945963953,2.052684067145465,1.526579722339083,48.716702974687934,2025-09
청상추,2025-09-15,9737.793577549008,154.6925,12446.0,19772.4,1.278112942206426,2.030480502850903,1.5886549895548772,49.24942635971863,2025-09
청상추,2025-09-22,10177.317535360504,168.182,13581.0,20829.4,1.3344380729807828,2.04664931870598,1.5337162211913704,48.8603490036223,2025-09
청상추,2025-09-29,9000.407871184183,212.0221,12262.5,22154.0,1.362438255632811,2.461444005324305,1.8066462793068299,40.62655895632474,2025-09
청상추,2025-10-06,6349.299269242627,110.276,11260.0,22500.0,1.7734240461062947,3.5436981383118678,1.9982238010657194,28.219107863300565,2025-10
청상추,2025-10-13,5327.455352646769,188.3145,9730.0,18158.8,1.8263879011517146,3.4085316155635925,1.8662692702980472,29.338146533068095,2025-10
청상추,2025-10-20,7728.94451820158,159.162,11505.0,14751.0,1.488560303791268,1.9085400296588437,1.2821382007822686,52.39607157617504,2025-10
청상추,2025-10-27,8790.15730571651,167.6635,11740.0,16591.2,1.3355847445830256,1.8874747542015242,1.4132197614991482,52.98084108272162,2025-10
청상추,2025-11-03,5554.14926772865,187.197,9407.0,19124.6,1.6936887264909537,3.443299608658328,2.0330179653449556,29.04191077318558,2025-11
청상추,2025-11-10,2344.644199015473,195.7285,5959.0,17655.4,2.54153700698051,7.530097746776925,2.9628125524416853,13.28004009546922,2025-11
청상추,2025-11-17,2462.7588501746113,158.7815,4859.0,13984.0,1.9729905750437131,5.678184853140828,2.8779584276600123,17.611261800447735,2025-11
청상추,2025-11-24,2204.222368736436,156.201,4355.0,12636.2,1.97575347286603,5.732724692038974,2.9015384615384616,17.4437122610946,2025-11
청상추,2025-12-01,2244.712748307458,149.627,4017.5,11849.0,1.789761297087677,5.27862641174658,2.94934660858743,18.944322291395544,2025-12
청상추,2025-12-08,2454.4316057468263,135.8315,3483.0,11184.2,1.4190658203084068,4.556737280359829,3.2110824002296874,21.94552677658506,2025-12
청상추,2025-12-15,3040.243007187583,136.068,3537.0,10592.8,1.1633938443861265,3.484195169582516,2.994854396381114,28.701032844834067,2025-12
청상추,2025-12-22,4070.8782022659925,132.0746,4442.5,10817.75,1.0912878694152897,2.657350444427068,2.435059088351154,37.631468672006584,2025-12
청상추,2025-12-29,7792.83275422102,107.0535,7115.0,12619.5,0.913018439430274,1.6193726207154382,1.7736472241742798,61.75230995064004,2025-12
청상추,2026-01-05,7407.223458912219,129.2282,8722.0,14325.4,1.1774992408938154,1.9339770265421077,1.6424443934877322,51.706922382008315,2026-01
청상추,2026-01-12,6274.433570929349,119.901,7880.0,15317.4,1.2558902586058998,2.4412402851738593,1.9438324873096446,40.96278461703259,2026-01
청상추,2026-01-19,5422.86109463695,126.98,7167.0,15620.0,1.3216270664000507,2.88039832247367,2.1794335147202455,34.717420580262164,2026-01
청상추,2026-01-26,4309.056311491224,116.106,6366.0,15692.0,1.4773536337929487,3.641632614118591,2.4649701539428213,27.460211008738362,2026-01
청상추,2026-02-02,4518.182771040413,125.354,6046.0,15186.6,1.3381486111523047,3.3612186070336736,2.5118425405226597,29.75111460788072,2026-02
