county,market,month,rel,n,qty
완주군,광주각화,5,0.9324129406066993,142,751432.5
완주군,광주각화,6,0.8813788282634263,126,757485.0
완주군,광주각화,7,0.7731366603635383,144,750656.6
완주군,광주각화,8,0.8395571179446503,130,648887.0
완주군,광주각화,9,0.852370480169438,124,568326.6
완주군,광주각화,10,0.9109558906657336,122,683856.0
완주군,광주각화,11,0.9142396039862413,119,628567.0
완주군,광주각화,12,0.8666332194531021,113,621348.6
완주군,광주서부,1,1.035576530943168,168,639260.0
완주군,광주서부,2,1.0218017342218855,163,669978.0
완주군,광주서부,3,1.004504325187954,170,880928.0
완주군,광주서부,4,0.9465492107418204,177,899715.0
완주군,광주서부,5,0.9503541651479454,182,858490.0
완주군,광주서부,6,0.9601507829010181,176,670027.3
완주군,광주서부,7,0.9348914477562658,183,561970.8
완주군,광주서부,8,0.9524826120016934,168,490012.5
완주군,광주서부,9,1.012999541457181,159,507728.0
완주군,광주서부,10,0.9681225633335453,150,554928.3
완주군,광주서부,11,0.9941898640562409,143,502836.5
완주군,광주서부,12,0.9750649032863054,143,526995.0
완주군,대전노은,1,1.1145294219205208,46,13052.0
완주군,대전노은,2,0.9522319280485166,44,14244.0
완주군,대전노은,3,1.0596888633549149,50,23092.0
완주군,대전노은,4,0.9933737779188487,49,23364.0
완주군,대전노은,5,0.968528472736828,45,14268.0
완주군,대전노은,6,1.027126040116231,33,10694.0
완주군,대전노은,7,0.8899998339041456,25,5412.0
완주군,대전노은,8,1.4573879752339483,38,5996.0
완주군,대전노은,9,0.863670989956079,26,6772.0
완주군,대전노은,10,0.9735107365231687,42,10476.0
완주군,대전노은,11,0.946956687371645,33,6100.0
완주군,대전노은,12,1.0778769168518567,53,10128.0
완주군,대전오정,1,1.1757549362367323,39,40860.0
완주군,대전오정,2,1.1166054480797507,44,55364.0
완주군,대전오정,3,1.1376401469359043,39,78072.0
완주군,대전오정,4,1.1896281670646593,37,73832.0
완주군,대전오정,5,1.0391007788158493,47,47644.0
완주군,대전오정,6,1.1791379144518952,54,55732.0
완주군,대전오정,7,1.2238449108889202,38,63560.0
완주군,대전오정,8,1.257724966378076,30,13458.0
완주군,대전오정,9,1.1503475795984854,33,13016.0
완주군,대전오정,10,1.0298896922247418,40,32948.0
완주군,대전오정,11,0.9713522267334628,48,27936.0
완주군,대전오정,12,1.1137054550017598,45,39420.0
완주군,서울가락,1,1.1289148457110165,48,20240.0
완주군,서울가락,2,1.0471643037140508,48,29856.0
완주군,서울가락,3,1.1363793012738277,61,41928.0
완주군,서울가락,4,1.230080563275868,80,52220.0
완주군,서울가락,5,1.2182293450768187,91,78040.0
완주군,서울가락,6,1.1551535373286872,80,71403.0
완주군,서울가락,7,1.3471343773619624,66,48196.0
완주군,서울가락,8,1.2576897034215448,48,32014.0
완주군,서울가락,9,1.167104994419814,45,17982.0
완주군,서울가락,10,1.075549540179939,40,11720.0
완주군,서울가락,11,1.0032404260384158,35,17880.0
완주군,서울가락,12,1.0481037989068869,44,21228.0
완주군,수원,1,1.018864837003818,45,9948.0
완주군,수원,2,0.8816823282737232,31,8264.0
완주군,수원,3,0.9906233620317721,26,11440.0
완주군,수원,4,0.9050884583905352,21,9552.0
완주군,수원,5,1.0350554820261766,53,17808.0
완주군,수원,6,1.08649172378987,48,21944.0
완주군,수원,7,1.1116134853929887,34,9048.0
완주군,수원,8,1.0369250962721155,34,9864.0
완주군,수원,9,1.0475727862730244,30,9940.0
완주군,수원,10,1.0047531947303023,27,8256.0
완주군,수원,11,1.063260525717262,37,14884.0
완주군,수원,12,1.0266895895755173,39,9556.0
완주군,익산,1,0.8267305326490643,25,2591.0
완주군,익산,2,0.6843623500366823,21,1568.0
완주군,익산,3,0.8783307022000838,18,2332.0
완주군,익산,4,0.7404549841042771,32,5300.0
완주군,익산,5,0.8121644440357761,28,6204.0
완주군,익산,6,0.8624313330645325,33,7836.0
완주군,익산,7,0.8640537694230902,37,13626.0
완주군,익산,8,1.04171895981417,32,5892.0
완주군,익산,9,0.9180041651027191,26,4025.0
완주군,익산,10,0.9614173448660935,28,5253.0
완주군,익산,11,0.8271979710320564,19,3604.0
완주군,인천삼산,1,1.039427500758613,15,4212.0
완주군,인천삼산,2,0.9917653894900414,16,5424.0
완주군,인천삼산,3,0.9541968624272675,20,9984.0
완주군,인천삼산,4,1.158035095345753,26,10440.0
완주군,인천삼산,5,1.3956504006611703,40,8960.0
완주군,인천삼산,6,1.11185639228627,40,9608.0
완주군,인천삼산,7,1.064455032673366,29,4924.0
완주군,인천삼산,8,1.1631908129826622,32,3734.5
완주군,인천삼산,9,0.9948949617278953,38,10572.0
완주군,인천삼산,10,1.0891066891461443,31,8972.0
완주군,인천삼산,11,1.05552073562749,25,5316.0
완주군,인천삼산,12,0.9872971365096735,17,4632.0
완주군,전주,1,0.936442118839181,110,71112.0
완주군,전주,2,0.8819896795315054,104,77505.0
완주군,전주,3,1.0271327197688473,113,92305.0
완주군,전주,4,0.9005010172149913,110,92463.0
완주군,전주,5,0.9112500555041401,127,83103.3
완주군,전주,6,1.0070035366786572,131,77975.9
완주군,전주,7,0.9259499733192309,126,76885.5
완주군,전주,8,0.9451356391799607,115,67099.5
완주군,전주,9,1.0446716982857338,105,62396.4
완주군,전주,10,0.945781291939409,116,62268.0
완주군,전주,11,0.8905930241129795,105,62655.8
완주군,전주,12,0.9527182446681824,97,55190.0
익산시,광주서부,4,1.1217562016560079,11,5200.0
익산시,구리,1,1.0165654558008466,67,57548.0
익산시,구리,2,1.0043954406307756,57,65788.0
익산시,구리,3,1.0364233731852333,65,82844.0
익산시,구리,4,0.9595056999950962,60,91564.0
익산시,구리,5,0.9981996471956026,72,102356.0
익산시,구리,6,0.9813030720954632,64,82334.0
익산시,구리,7,1.0742792188315962,78,62792.0
익산시,구리,8,0.9916344791719633,66,54760.0
익산시,구리,9,0.9877886860762473,60,44472.0
익산시,구리,10,1.0102151959838985,52,58116.0
익산시,구리,11,0.9997665769318336,53,60048.0
익산시,구리,12,0.9939313048059009,79,84282.0
익산시,대구북부,1,1.112224025962328,19,8476.0
익산시,대구북부,2,1.3012219487235932,18,11544.0
익산시,대구북부,3,1.0658309333871698,13,10354.0
익산시,대구북부,4,1.1274433513418294,10,4300.0
익산시,대구북부,9,1.1404530138043139,10,14244.0
익산시,대구북부,10,1.1194671191159147,12,16456.0
익산시,대구북부,11,1.2133394959659032,24,27462.0
익산시,대구북부,12,1.083521321555679,32,16650.0
익산시,대전노은,1,0.9709942206065406,69,31712.0
익산시,대전노은,2,0.9566103723201143,47,28290.0
익산시,대전노은,3,0.9075665498349067,56,29782.0
익산시,대전노은,4,0.9933866695797527,60,29020.0
익산시,대전노은,5,0.9284122272186975,50,26060.0
익산시,대전노은,6,0.8995211161182699,44,8444.0
익산시,대전노은,7,0.9629421611812623,56,17514.0
익산시,대전노은,8,1.0233465779165847,46,10110.0
익산시,대전노은,9,0.8858332606706761,45,11580.0
익산시,대전노은,10,1.0578233274372928,57,23688.0
익산시,대전노은,11,1.0141404639331058,72,32288.0
익산시,대전노은,12,0.9928155399005153,73,41021.0
익산시,대전오정,1,1.059108538342029,189,491274.0
익산시,대전오정,2,1.0386678362680573,184,516796.6
익산시,대전오정,3,1.0716389975589589,206,723820.7
익산시,대전오정,4,1.058078480533111,200,742438.7
익산시,대전오정,5,1.040113174878882,192,654213.0
익산시,대전오정,6,1.0657365099024463,197,567805.5
익산시,대전오정,7,1.0416291236082802,193,445533.6
익산시,대전오정,8,1.0976739083059748,172,335505.8
익산시,대전오정,9,1.0199691640191741,175,368087.7
익산시,대전오정,10,1.014572338584308,167,443681.6
익산시,대전오정,11,1.010155704646098,167,464388.3
익산시,대전오정,12,1.0408749577136722,182,475422.5
익산시,부산반여,1,1.2434020348464756,19,20086.0
익산시,부산반여,2,1.147259488323958,11,11870.0
익산시,부산반여,9,0.9838282906402576,13,7676.0
익산시,부산반여,10,1.0502265193165277,15,7734.0
익산시,부산반여,11,1.2560885076334656,14,6810.0
익산시,부산반여,12,1.226916117571632,17,18462.0
익산시,부산엄궁,1,1.3279598728626483,20,21600.0
익산시,부산엄궁,2,1.2948472365098156,12,12462.0
익산시,부산엄궁,9,1.0283983592682384,12,14518.0
익산시,부산엄궁,10,1.1976274108557976,15,15488.0
익산시,부산엄궁,11,1.3476020157499802,13,8356.0
익산시,부산엄궁,12,1.1700426960396373,17,17632.0
익산시,서울가락,1,0.9802407029966724,145,2658517.0
익산시,서울가락,2,0.9700613281480396,157,2869881.0
익산시,서울가락,3,1.0034407002112349,164,3768722.5
익산시,서울가락,4,0.964350986206988,160,3972042.0
익산시,서울가락,5,0.991765243831627,176,4164364.5
익산시,서울가락,6,0.9869828881165702,174,3160490.3
익산시,서울가락,7,0.9850810525986312,175,2719158.7
익산시,서울가락,8,0.999547066781416,163,2461797.5
익산시,서울가락,9,1.016668634846556,150,2541734.2
익산시,서울가락,10,0.9928430749816236,158,3039063.5
익산시,서울가락,11,0.966919507899536,137,3114215.0
익산시,서울가락,12,0.9957093854978313,137,2934744.0
익산시,서울강서,1,0.9874315139629597,104,245926.0
익산시,서울강서,2,0.9720244201584699,110,284492.0
익산시,서울강서,3,0.9615031600254508,128,374496.0
익산시,서울강서,4,0.9620475101283019,143,443973.0
익산시,서울강서,5,0.9696947684777988,137,441686.0
익산시,서울강서,6,1.023432968371814,127,310902.0
익산시,서울강서,7,0.9577174643995158,137,320080.0
익산시,서울강서,8,1.000886237472389,151,293010.0
익산시,서울강서,9,1.077220714714616,133,283220.0
익산시,서울강서,10,0.9884519066883017,134,325917.3
익산시,서울강서,11,0.9596539937403856,110,297608.0
익산시,서울강서,12,0.966055686565122,114,274388.0
익산시,안산,1,0.9016945023295169,32,19734.0
익산시,안산,2,0.9481117814637674,30,18510.0
익산시,안산,3,0.9631890764759368,23,16286.0
익산시,안산,4,0.9026834113182927,30,16538.0
익산시,안산,5,1.026348722979477,25,15192.0
익산시,안산,6,0.9224946632654504,22,19564.0
익산시,안산,7,0.9278167354935207,41,40904.0
익산시,안산,8,0.9845283689088135,30,15548.0
익산시,안산,9,0.8931598215145886,40,14794.0
익산시,안산,10,0.9692665840463178,43,14534.0
익산시,안산,11,0.8967402231674878,33,16428.0
익산시,안산,12,0.9824109391077575,32,20802.0
익산시,안양,5,0.8469119765202265,12,4140.0
익산시,안양,6,0.7589007417287054,11,6816.0
익산시,안양,7,0.7842998749478104,14,16560.0
익산시,안양,10,1.004011043068638,10,1252.0
익산시,익산,1,0.8085182846096158,177,187766.35
익산시,익산,2,0.8108465451179242,174,170362.35
익산시,익산,3,0.84034770701882,194,216454.94
익산시,익산,4,0.8247036620412415,196,220113.55
익산시,익산,5,0.7942937300787346,197,213613.29
익산시,익산,6,0.8474128217482139,172,177160.82
익산시,익산,7,0.7885638086707942,175,312017.7
익산시,익산,8,0.8223386040014656,148,198781.5
익산시,익산,9,0.8927179589319328,148,133915.92
익산시,익산,10,0.8051448003514879,155,149847.86
익산시,익산,11,0.8051153207433374,167,170761.97
익산시,익산,12,0.755825831624389,166,160003.99
익산시,인천남촌,1,0.9688687714332341,44,13043.1
익산시,인천남촌,2,0.8716758082880566,62,14572.0
익산시,인천남촌,3,0.9606297241569624,64,18980.0
익산시,인천남촌,4,0.9592162980717787,54,22288.0
익산시,인천남촌,5,0.8548657143970201,72,19352.0
익산시,인천남촌,6,0.9603434803096537,67,18419.0
익산시,인천남촌,7,0.9008171322761287,71,11500.0
익산시,인천남촌,8,0.8366276938527656,75,11145.0
익산시,인천남촌,9,0.8862859276505972,63,9641.0
익산시,인천남촌,10,0.9069220260821721,66,13686.5
익산시,인천남촌,11,0.9222113430205936,64,16742.0
익산시,인천남촌,12,0.9242644980272515,59,15240.0
익산시,인천삼산,1,1.0110675502277364,59,23350.5
익산시,인천삼산,2,0.9571433093569948,56,23800.0
익산시,인천삼산,3,1.039257262286906,56,27619.5
익산시,인천삼산,4,0.9755115900177317,61,30592.0
익산시,인천삼산,5,0.933529716531514,67,34136.0
익산시,인천삼산,6,0.8847517696269918,66,22738.0
익산시,인천삼산,7,0.9798002456752065,69,24011.0
익산시,인천삼산,8,0.8716521307865083,68,11329.0
익산시,인천삼산,9,0.9185703309584828,62,13410.0
익산시,인천삼산,10,0.9793533265111504,68,19189.9
익산시,인천삼산,11,0.9601533150973367,58,25961.0
익산시,인천삼산,12,0.9315424194728668,64,27408.0
익산시,전주,1,0.9370277803671003,74,21464.0
익산시,전주,2,0.8495396503002981,86,21460.0
익산시,전주,3,0.919303123900473,90,25410.0
익산시,전주,4,0.8370618461301128,86,24180.0
익산시,전주,5,0.7425062259559136,96,33959.0
익산시,전주,6,0.827640435779852,74,22836.0
익산시,전주,7,0.8740093570615993,66,15519.0
익산시,전주,8,0.745121016544842,67,12798.0
익산시,전주,9,0.9078962846295134,63,10807.0
익산시,전주,10,0.8798876849160474,84,16566.0
익산시,전주,11,0.8476601573761217,91,24564.0
익산시,전주,12,0.9380295284614871,77,21900.0
익산시,천안,7,0.9090080660771243,13,1560.0
익산시,천안,9,0.9378139830501483,14,1060.0
익산시,청주,1,0.9697306428329897,117,126280.0
익산시,청주,2,0.9090530436423752,122,128571.5
익산시,청주,3,0.9735628475605751,127,155931.5
익산시,청주,4,0.8754331697144774,128,159400.0
익산시,청주,5,0.8708596140619767,113,131364.0
익산시,청주,6,0.9951679971916367,121,117909.0
익산시,청주,7,0.9201076549397038,131,110681.4
익산시,청주,8,0.9215543581281619,126,83305.2
익산시,청주,9,0.8996582010441508,119,83800.5
익산시,청주,10,0.8554611916892555,111,96609.0
익산시,청주,11,0.8747924385255362,113,124422.0
익산시,청주,12,0.9393179641819597,110,119557.0
임실군,광주각화,11,1.0027856097115462,11,2150.0
임실군,광주서부,4,0.9760082645369886,12,3664.0
임실군,광주서부,5,0.8856247560106115,11,2156.0
임실군,서울가락,7,1.025578937870883,12,23424.0
임실군,서울가락,8,1.0774155012891873,14,15412.0
임실군,전주,7,0.9900552153770729,19,11660.0
임실군,전주,8,0.8921144624562396,18,11372.0
