date,market_nm,market_cd,crop,county,qty
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,쌈추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,쌈추,장수군,0.0
2026-08-06,광주각화,240001,쌈추,장수군,0.0
2026-08-06,광주각화,240001,고구마순,순창군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주서부,240004,토마토,장수군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,남원시,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,안동,370401,사과,장수군,0.0
2026-08-06,안동,370401,사과,장수군,0.0
2026-08-06,안동,370401,사과,장수군,0.0
2026-08-06,안동,370401,사과,장수군,0.0
2026-08-06,안동,370401,사과,장수군,0.0
2026-08-06,안동,370401,사과,장수군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,안동,370401,사과,장수군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,안동,370401,사과,장수군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,안동,370401,사과,장수군,0.0
2026-08-06,안동,370401,사과,장수군,0.0
2026-08-06,안동,370401,사과,장수군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,안동,370401,사과,장수군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,안동,370401,사과,장수군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,광주서부,240004,포도,남원시,0.0
2026-08-06,광주각화,240001,포도,남원시,0.0
2026-08-06,광주각화,240001,포도,남원시,0.0
2026-08-06,광주각화,240001,포도,남원시,0.0
2026-08-06,광주서부,240004,멜론,고창군,0.0
2026-08-06,광주서부,240004,멜론,고창군,0.0
2026-08-06,광주서부,240004,멜론,고창군,0.0
2026-08-06,광주서부,240004,토마토,진안군,0.0
2026-08-06,광주서부,240004,토마토,진안군,0.0
2026-08-06,광주서부,240004,토마토,진안군,0.0
2026-08-06,광주서부,240004,토마토,진안군,0.0
2026-08-06,광주서부,240004,토마토,진안군,0.0
2026-08-06,광주서부,240004,토마토,진안군,0.0
2026-08-06,광주서부,240004,토마토,진안군,0.0
2026-08-06,광주서부,240004,토마토,진안군,0.0
2026-08-06,광주서부,240004,토마토,진안군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,안동,370401,사과,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
2026-08-06,광주서부,240004,토마토,무주군,0.0
