crop_id,county_id,n_obs,skipped,target_source,params_source,baseline_mape,best_alpha,best_blend_w,use_gpj_feature,feature_variant,model_mape,n_folds,consensus_alpha,consensus_blend_w,consensus_mape,model_mape_own
cucumber,jangsu,81,False,origin,own,30.935156850302622,100.0,0.6,False,,30.039942985429533,6.0,,,,
cucumber,jeongeup,102,False,origin,own,23.960200995507392,5.0,0.6,False,,23.94923542391326,6.0,,,,
cucumber,jeonju,102,False,origin,own,26.52723513883366,20.0,0.6,False,,24.610762709028847,6.0,,,,
cucumber,jinan,103,False,origin,own,25.21870129068182,2.0,0.5,False,,23.29198157011498,6.0,,,,
cucumber,muju,42,False,origin,crop_consensus,66.22481471661722,5.0,0.6,False,,69.19802736370626,6.0,5.0,0.6,69.19802736370626,67.21893633775774
cucumber,namwon,101,False,origin,own,23.13230927855507,2.0,0.4,False,,19.199860964423586,6.0,,,,
cucumber,sunchang,51,False,origin,crop_consensus,60.501326481948325,5.0,0.6,False,,58.609757993152094,6.0,5.0,0.6,58.609757993152094,58.05302292250042
cucumber,wanju,87,False,origin,own,33.89798074654531,2.0,0.6,False,,30.174466086924145,6.0,,,,
grape,buan,29,True,origin,,,,,,,,,,,,
grape,gimje,45,False,origin,own,26.41283599596647,100.0,0.6,False,,28.768112565459006,6.0,50.0,0.0,33.26117838845453,
grape,gochang,10,True,origin,,,,,,,,,,,,
grape,gunsan,1,True,origin,,,,,,,,,,,,
grape,iksan,81,False,origin,own,49.081934302246395,100.0,0.0,False,,36.01011404032158,6.0,,,,
grape,imsil,1,True,origin,,,,,,,,,,,,
grape,jangsu,30,True,origin,,,,,,,,,,,,
grape,jeongeup,74,False,origin,own,40.84178014519892,5.0,0.5,False,,36.01903440850686,6.0,,,,
grape,jeonju,91,False,origin,own,53.42439711427179,50.0,0.0,True,,33.24464375785082,6.0,,,,
grape,jinan,15,True,origin,,,,,,,,,,,,
grape,muju,56,False,origin,crop_consensus,42.7314392477028,50.0,0.0,False,,23.79903858721315,6.0,50.0,0.0,23.79903858721315,23.66226724818415
grape,namwon,61,False,origin,own,35.0503667296333,100.0,0.0,False,,28.238942478901667,6.0,,,,
