year,ym,month,actual,pred,method
2024,2024-11,11,3783.3289458904264,3361.853238399006,analytic
2024,2024-12,12,2953.1652291422224,2476.990186154205,analytic
2025,2025-01,1,2729.5997918576377,3380.8135832549933,analytic
2025,2025-02,2,2477.8812422779765,2775.606146394664,analytic
2025,2025-03,3,2339.8628511090333,2756.96437017886,analytic
2025,2025-04,4,2448.7021792584655,2638.442700527733,analytic
2025,2025-05,5,3149.438992754348,2829.2936851609466,analytic
2025,2025-06,6,2655.27192378158,3425.0187606548543,analytic
2025,2025-07,7,4755.754584835337,5368.745062389866,analytic
2025,2025-08,8,6177.820058675944,7107.508010511494,analytic
2025,2025-09,9,9189.889464429847,9683.023775126876,analytic
2025,2025-10,10,7897.762139341014,8069.4216415524,analytic
2025,2025-11,11,3488.7216959787406,3944.752087744756,analytic
2025,2025-12,12,3536.288227656001,2965.479623659706,analytic
2020,2020-01,1,5457.007268229654,2418.568115410426,calib
2020,2020-02,2,1887.3719771322812,2251.7017793096857,calib
2020,2020-03,3,2128.2206493695803,1707.817052761696,calib
2020,2020-04,4,1872.786298646229,1872.7985448369618,calib
2020,2020-05,5,2064.6228446720447,2445.670668806208,calib
2020,2020-06,6,3279.012342580697,2790.0941948957025,calib
2020,2020-07,7,4978.318310098686,3828.239707042526,calib
2020,2020-08,8,8838.360149034703,4925.188924766074,calib
2020,2020-09,9,5619.295180086788,5759.139343968094,calib
2020,2020-10,10,1850.8362528978846,3843.8534078609755,calib
2020,2020-11,11,1891.802704312295,2676.240429363973,calib
2020,2020-12,12,3405.9544521657504,3319.0156802919014,calib
2021,2021-01,1,4971.971829364932,4259.335200913392,calib
2021,2021-02,2,2884.4024417256596,3029.799301929341,calib
2021,2021-03,3,2487.209310970788,2099.561621024811,calib
2021,2021-04,4,2770.3748635386487,2106.0264130962464,calib
2021,2021-05,5,2839.3721514512445,2703.6896014852828,calib
2021,2021-06,6,3669.2263773169398,3216.800737195141,calib
2021,2021-07,7,4977.055254217393,4208.903973892874,calib
2021,2021-08,8,6991.9305302807,5400.2034500864265,calib
2021,2021-09,9,10460.64757946111,5887.472209461237,calib
2021,2021-10,10,7891.324604968693,4714.512181378397,calib
2021,2021-11,11,3310.0003088010235,2664.0107306780274,calib
2021,2021-12,12,3159.872332558557,2112.2739704588416,calib
2022,2022-01,1,4421.075539424003,3568.5604578015486,calib
2022,2022-02,2,2395.2541250887098,3536.960261957083,calib
2022,2022-03,3,2578.482910297402,2729.6569425167118,calib
2022,2022-04,4,3002.8055780281884,2878.336517265835,calib
2022,2022-05,5,2677.942836412439,3517.5380649681474,calib
2022,2022-06,6,3948.8349480423194,4011.4636458670575,calib
2022,2022-07,7,8792.50658310678,5483.901685560954,calib
2022,2022-08,8,9409.868539984273,8678.022319526583,calib
2022,2022-09,9,5194.005474892095,8179.320069533553,calib
2022,2022-10,10,3191.0285531273066,4608.187483401708,calib
2022,2022-11,11,2019.4117429570485,3739.196746793553,calib
2022,2022-12,12,5281.381163475159,4138.09001837486,calib
2023,2023-01,1,5637.419817242143,5182.528926896123,calib
2023,2023-02,2,3864.1014337678266,3619.7280565649958,calib
2023,2023-03,3,3247.3347550611743,2568.622489876161,calib
2023,2023-04,4,2956.0400716665886,2719.9154611694626,calib
2023,2023-05,5,2593.58892722053,3234.757723712991,calib
2023,2023-06,6,3435.2640133088516,4035.665318879538,calib
2023,2023-07,7,9958.97262643662,6208.732545026551,calib
2023,2023-08,8,6789.750961881995,10348.510618969933,calib
2023,2023-09,9,7134.070422942123,6340.34791013894,calib
2023,2023-10,10,5396.45378473103,4771.970567423,calib
2023,2023-11,11,3737.8953464860106,4071.9874070455157,calib
2023,2023-12,12,3183.764694039986,3970.6106438137103,calib
2024,2024-01,1,4566.930488215524,4313.752859322642,calib
2024,2024-02,2,2857.18395087652,3545.6191184416157,calib
2024,2024-03,3,3605.557850886509,2941.469153134749,calib
2024,2024-04,4,2354.3771130985897,3107.422468154874,calib
2024,2024-05,5,2432.454660984288,3195.1168158871415,calib
2024,2024-06,6,2735.6046494374705,3901.5525815396813,calib
2024,2024-07,7,6768.9798004398635,6678.311304084264,calib
2024,2024-08,8,8280.265680714458,8440.88805553996,calib
2024,2024-09,9,13833.212743914744,8557.151261874635,calib
2024,2024-10,10,10924.003764858491,7573.134102926723,calib
2024,2024-11,11,3783.3289458904264,3981.1983069611197,calib
2024,2024-12,12,2953.1652291422224,2770.5254249962136,calib
2025,2025-01,1,2729.5997918576377,3790.133033882892,calib
2025,2025-02,2,2477.8812422779765,3215.406729869765,calib
2025,2025-03,3,2339.8628511090333,3194.968037968536,calib
2025,2025-04,4,2448.7021792584655,3055.40711200467,calib
2025,2025-05,5,3149.438992754348,3294.0258553735625,calib
2025,2025-06,6,2655.27192378158,3992.761493058132,calib
2025,2025-07,7,4755.754584835337,6131.34251564646,calib
2025,2025-08,8,6177.820058675944,8187.352051354971,calib
2025,2025-09,9,9189.889464429847,11299.133339075699,calib
2025,2025-10,10,7897.762139341014,9563.35137696462,calib
2025,2025-11,11,3488.7216959787406,4669.744029915824,calib
2025,2025-12,12,3536.288227656001,3378.966092438097,calib
2020,2020-01,1,5457.007268229654,2645.7711790935446,q55
2020,2020-02,2,1887.3719771322812,2258.3341034444798,q55
2020,2020-03,3,2128.2206493695803,2177.492412752794,q55
2020,2020-04,4,1872.786298646229,2312.0819803982004,q55
2020,2020-05,5,2064.6228446720447,2613.2147268665717,q55
2020,2020-06,6,3279.012342580697,2720.91677747789,q55
2020,2020-07,7,4978.318310098686,3413.73015223329,q55
2020,2020-08,8,8838.360149034703,4473.075624755377,q55
2020,2020-09,9,5619.295180086788,5660.860878782656,q55
2020,2020-10,10,1850.8362528978846,4929.407255091108,q55
2020,2020-11,11,1891.802704312295,3243.6715657611467,q55
2020,2020-12,12,3405.9544521657504,3060.286222930212,q55
2021,2021-01,1,4971.971829364932,3922.560341938346,q55
2021,2021-02,2,2884.4024417256596,2749.93420115452,q55
2021,2021-03,3,2487.209310970788,1965.364275841132,q55
2021,2021-04,4,2770.3748635386487,1981.9464372962989,q55
2021,2021-05,5,2839.3721514512445,2524.9738837319787,q55
2021,2021-06,6,3669.2263773169398,3005.6863871024693,q55
2021,2021-07,7,4977.055254217393,3977.298209912987,q55
2021,2021-08,8,6991.9305302807,5389.869828402649,q55
2021,2021-09,9,10460.64757946111,5541.69853787268,q55
2021,2021-10,10,7891.324604968693,4225.950118138393,q55
2021,2021-11,11,3310.0003088010235,2379.8883068016,q55
2021,2021-12,12,3159.872332558557,1929.4370159052912,q55
2022,2022-01,1,4421.075539424003,2992.5451488954304,q55
2022,2022-02,2,2395.2541250887098,2997.9241803326076,q55
2022,2022-03,3,2578.482910297402,2163.561037794289,q55
2022,2022-04,4,3002.8055780281884,2313.117731592442,q55
2022,2022-05,5,2677.942836412439,2867.663239918553,q55
2022,2022-06,6,3948.8349480423194,3248.0375828910155,q55
2022,2022-07,7,8792.50658310678,4713.760372100523,q55
2022,2022-08,8,9409.868539984273,9056.204350244625,q55
