ym,county,full,sample,n_obs_full,n_obs_sample,n_days_sample
2021-09,남원시,11993.993763673745,9196.407131877362,1433,147,2
2021-09,무주군,6491.219190140845,3746.25,55,10,2
2021-09,순창군,5114.115969581749,5124.324324324324,49,7,2
2021-09,완주군,8639.484725079437,6147.3759126008445,334,28,2
2021-09,익산시,9818.746474695205,6823.332059093865,518,42,2
2021-09,장수군,10566.916727668427,8471.476422779717,520,47,2
2021-09,전주시,7361.183086746839,6258.3125616,138,12,2
2021-09,정읍시,9959.325153374233,3000.0,24,2,1
2021-09,진안군,9702.143332804568,7442.022377977766,130,14,2
2021-10,고창군,9360.91270126488,16416.666666666668,25,2,1
2021-10,김제시,7540.825688073394,18250.0,28,1,1
2021-10,남원시,8581.239172855678,9335.224417540172,1435,169,3
2021-10,무주군,7937.5,4873.529411764706,49,3,2
2021-10,순창군,7461.09529006497,8580.397727272728,90,11,3
2021-10,완주군,6104.2177324242875,6620.465758713562,388,44,3
2021-10,익산시,7852.2368295598635,8612.739587411521,598,69,3
2021-10,장수군,8106.187423081222,9943.17989412127,503,52,3
2021-10,전주시,5964.688106035074,7651.389694527736,166,19,3
2021-10,정읍시,9902.90909090909,4358.648648648648,23,5,3
2021-10,진안군,6554.08072356905,6525.342437648455,115,13,3
2021-11,고창군,4646.524495260664,4000.0,11,2,1
2021-11,김제시,2266.3251366120217,1847.8,43,6,2
2021-11,남원시,4335.490341392205,4040.0073701924907,1087,97,3
2021-11,무주군,2776.460481099656,2008.3333333333333,26,2,2
2021-11,순창군,3187.501448192771,2806.880536666667,89,7,3
2021-11,완주군,2652.391601089183,2544.8890702222225,347,33,3
2021-11,익산시,2863.077917517981,2899.2022313682055,621,58,3
2021-11,장수군,4068.197091389329,3656.3082479485115,375,39,3
2021-11,전주시,2609.8231652493596,2438.4407356937013,141,13,2
2021-11,정읍시,4198.6642599277975,3735.4761904761904,26,3,2
2021-11,진안군,3916.001943945003,4575.0,56,1,1
2021-12,고창군,3455.257926587302,4250.0,8,1,1
2021-12,김제시,2208.9521471004246,1509.567925925926,39,2,1
2021-12,남원시,3924.391786892096,3546.8558442662784,1092,91,2
2021-12,무주군,2077.6190476190477,,7,0,0
2021-12,부안군,1440.7242063492063,2139.705882352941,13,2,1
2021-12,순창군,3031.567746956867,2476.55035235732,120,11,2
2021-12,완주군,2216.6067999099346,1818.1145566247974,408,30,2
2021-12,익산시,3042.3618942522435,3153.302236600183,649,46,2
2021-12,장수군,3648.3298723874673,3408.325545864046,249,22,2
2021-12,전주시,2042.9899515022114,1724.5277777777778,164,6,1
2021-12,정읍시,2135.579150579151,3160.0,22,1,1
2021-12,진안군,4162.783386020151,1969.4444444444443,26,2,2
2022-01,고창군,5790.8805031446545,,4,0,0
2022-01,김제시,3540.07204610951,4504.878048780488,53,5,3
2022-01,남원시,5529.503617450938,5527.371182222367,1062,131,3
2022-01,무주군,2625.0,2625.0,1,1,1
2022-01,부안군,2778.2258064516127,,4,0,0
2022-01,순창군,4833.6306722222225,5024.475719986357,168,17,3
2022-01,완주군,3883.0755550769436,4019.1320427070327,398,49,3
2022-01,익산시,4036.5186846682564,4028.094365364798,590,75,3
2022-01,장수군,5187.979437836591,5257.146029023746,111,13,3
2022-01,전주시,3690.6245314303487,3881.7200456751357,147,24,3
2022-01,정읍시,2115.440414507772,20000.0,19,1,1
2022-01,진안군,5140.976162181303,6800.762195121952,27,2,1
2022-02,고창군,1059.9489795918366,,7,0,0
2022-02,김제시,1908.6967054263566,1935.9375,24,4,3
2022-02,남원시,2935.1648662488687,3619.1481882550943,879,125,3
2022-02,무주군,500.0,,1,0,0
2022-02,부안군,1425.0,1250.0,8,1,1
2022-02,순창군,2473.4554365497875,2849.0395994776827,130,17,3
2022-02,완주군,2002.6873426857476,2170.642461396038,375,58,3
2022-02,익산시,2259.0546862462793,2825.7510628012074,470,68,3
2022-02,임실군,1750.0,2500.0,3,1,1
2022-02,장수군,2729.797083014746,2649.4283536585367,106,14,3
2022-02,전주시,1819.9879394484797,1923.6449635099914,159,27,3
2022-02,정읍시,2994.5405405405404,2632.5,17,1,1
2022-02,진안군,1482.7922077922078,,8,0,0
2022-03,고창군,1643.8316400580552,1895.0980392156862,28,4,3
2022-03,김제시,2344.3847542699723,2084.6938775510203,58,8,3
