계절,가격,고온,발아,야간,광,강수,저온,n_feat,mape,baseline,wins,n_fold,mape_std,worst_fold,y2020,y2021,y2022,y2023,y2024,y2025
0,0,1,0,0,0,1,1,5,24.823635734424766,25.4476571326886,3,6,7.959402839680418,39.73987056995578,39.73987056995578,25.359572402807746,24.224454009856647,21.049453265893174,22.28470873118751,16.28375542684772
0,0,1,0,0,1,0,0,4,25.057566233375756,25.4476571326886,2,6,5.735245398986605,35.45125616349542,35.45125616349542,23.43047023856044,27.52967355040223,22.393510248400364,22.151943202488187,19.388543996907917
0,0,1,0,0,1,0,1,5,25.242504783661673,25.4476571326886,2,6,5.688385284524476,35.5369054791685,35.5369054791685,23.44286285134651,27.537039855063654,23.340132614926997,22.248636919801033,19.349450981663338
0,0,1,0,0,1,1,0,6,24.73403237154152,25.4476571326886,4,6,6.358743275172514,36.45043156894195,36.45043156894195,24.430438444457323,25.92312316354296,22.86140092797269,20.447049287963086,18.291750836371122
0,0,1,0,0,1,1,1,7,25.18631104544079,25.4476571326886,4,6,7.109236365007931,38.65678851031964,38.65678851031964,24.411983032407967,25.92985497205958,23.063922627200885,20.409354520327373,18.645962610329303
0,0,1,0,1,0,0,0,3,24.779397366139687,25.4476571326886,3,6,6.86540322297894,38.02368819108135,38.02368819108135,23.265017791344885,25.318223720667266,20.253760800315668,22.807148705698253,19.0085449877307
0,0,1,0,1,0,0,1,4,24.563746536368274,25.4476571326886,3,6,7.027928127775622,38.05290301477014,38.05290301477014,23.277888926135972,24.701939690644465,20.568817963469215,22.894160499391987,17.886769123797883
0,0,1,0,1,0,1,0,5,24.768953747564584,25.4476571326886,3,6,7.799024281687064,39.291656626889306,39.291656626889306,25.102103623866856,24.56134344034097,21.588971577431856,21.96638679411945,16.103260422739094
0,0,1,0,1,0,1,1,6,24.893295157250478,25.4476571326886,3,6,7.968620031251427,39.836599025882016,39.836599025882016,25.11668108318361,24.59924266183814,21.62805083786081,21.92051910085516,16.25867823388311
0,0,1,0,1,1,0,0,5,24.693733240030856,25.4476571326886,2,6,5.768062978897829,35.330137658157135,35.330137658157135,23.510834514482635,26.371190057250566,21.45775676486942,22.66582311188838,18.826657333537
0,0,1,0,1,1,0,1,6,24.815093314563445,25.4476571326886,2,6,5.756239530057215,35.42260665873412,35.42260665873412,23.505060009368353,26.377935058954982,22.17284536484986,22.736280980882427,18.67583181459095
0,0,1,0,1,1,1,0,7,24.642423011901652,25.4476571326886,4,6,6.451904498649087,36.43649576433996,36.43649576433996,24.481043295748623,26.08064715239448,22.591094556509265,20.136884069766115,18.128373232651445
0,0,1,0,1,1,1,1,8,25.036802090615083,25.4476571326886,4,6,7.23600504687277,38.59785713559762,38.59785713559762,24.482319430236767,26.085768724943968,22.76607731242997,20.11695213449077,18.171837805991387
0,0,1,1,0,0,0,0,3,25.1907867742662,25.4476571326886,3,6,9.233577781431707,42.88829342291095,42.88829342291095,22.69054957820055,27.128609623553434,19.15044649047707,21.233101977827047,18.053719552628152
0,0,1,1,0,0,0,1,4,25.108803471401284,25.4476571326886,3,6,9.246067739558608,42.86285697048706,42.86285697048706,22.66001540049696,26.749371489194445,19.605522355472523,21.362659730175128,17.41239488258161
0,0,1,1,0,0,1,0,5,25.154934832850767,25.4476571326886,3,6,9.197747695557057,42.25545404945477,42.25545404945477,25.356276147966987,25.964928048616876,20.04647412468372,21.75387876872831,15.552597857653922
0,0,1,1,0,0,1,1,6,25.227406659854125,25.4476571326886,3,6,9.281608431723527,42.57099927582873,42.57099927582873,25.34112225644762,25.962974961695622,20.084786025216893,21.684387231673327,15.720170208262555
0,0,1,1,0,1,0,0,5,24.83423169394308,25.4476571326886,4,6,7.850607170144753,38.820584348028916,38.820584348028916,23.482955456122003,28.82352143327156,20.343113150861072,19.48305511100507,18.05216066436985
0,0,1,1,0,1,0,1,6,24.98076881983154,25.4476571326886,3,6,7.867600917748933,39.07532351929501,39.07532351929501,23.485736236464415,28.766611259964375,21.058638785113594,19.53091624345338,17.967386874698445
0,0,1,1,0,1,1,0,7,24.926276591544788,25.4476571326886,4,6,7.722202141178966,38.71772083880589,38.71772083880589,24.4432966012843,27.506551473262668,22.300197533983056,20.058698170937163,16.53119493099567
0,0,1,1,0,1,1,1,8,25.026275904450344,25.4476571326886,4,6,7.949218479335425,39.32565907452848,39.32565907452848,24.427999378794322,27.50643057815368,22.530865202219108,19.77874756851139,16.587953624495093
0,0,1,1,1,0,0,0,4,24.913852977246552,25.4476571326886,3,6,9.223908414825809,42.404902452685214,42.404902452685214,23.080136239919312,26.93934313254876,18.8480933730076,21.071151147583052,17.139491517735404
0,0,1,1,1,0,0,1,5,24.947587805767512,25.4476571326886,3,6,9.204765652784763,42.37116337483073,42.37116337483073,23.090024056297352,27.02101161234815,19.07210065609064,21.138214290364523,16.993012844673665
0,0,1,1,1,0,1,0,6,25.245494974758177,25.4476571326886,2,6,9.125278624431388,42.269807333616896,42.269807333616896,25.122154705249006,26.12078040841678,20.741528836577164,21.557436025243778,15.661262539445467
0,0,1,1,1,0,1,1,7,25.326745831095696,25.4476571326886,2,6,9.209908142861236,42.579469775012015,42.579469775012015,25.13777101953561,26.15521057682712,20.77633518035971,21.486515289037364,15.825173145802385
0,0,1,1,1,1,0,0,6,24.755416702703528,25.4476571326886,4,6,7.823886054895759,38.70810686512143,38.70810686512143,23.51778665818879,28.492138232218245,20.18003108098082,20.306352909505506,17.328084470206353
0,0,1,1,1,1,0,1,7,24.73798716530712,25.4476571326886,4,6,7.956679787535597,38.96071670870356,38.96071670870356,23.51152561773985,28.454127077210455,20.632412150211866,19.57955167380152,17.289589764175474
0,0,1,1,1,1,1,0,8,24.885578425149774,25.4476571326886,4,6,7.788793710974356,38.71564078622448,38.71564078622448,24.51660901088971,27.555586083626004,22.27614907040092,19.936360152285047,16.31312544747245
0,0,1,1,1,1,1,1,9,25.182665281442112,25.4476571326886,4,6,7.781146632645928,39.32640595543042,39.32640595543042,24.517682321735816,27.55550224543776,22.431718271903847,19.903573649846393,17.361109244298426
0,1,0,0,0,0,0,0,3,24.143105037087523,25.4476571326886,5,6,10.172084752879382,41.98692476142087,41.98692476142087,21.063800165003066,29.557949532255684,18.377480174573712,20.329737344239525,13.542738245032274
0,1,0,0,0,0,0,1,4,24.428095516437576,25.4476571326886,4,6,9.519795401149928,40.51318965546595,40.51318965546595,21.044170711422712,29.344623465320325,22.65837591762786,20.381474917363192,12.626738431425396
0,1,0,0,0,0,1,0,5,26.380070481310863,25.4476571326886,3,6,12.33399136088789,49.63019587751011,49.63019587751011,25.169673321814646,27.073123858870723,22.5950968032938,20.390937718570083,13.421395307805831
0,1,0,0,0,0,1,1,6,27.184031733933068,25.4476571326886,3,6,14.043028766262236,54.09763677601106,54.09763677601106,25.098525840441972,27.3542262827326,22.840620207516128,20.401696065570828,13.31148523132584
0,1,0,0,0,1,0,0,5,24.882593867300454,25.4476571326886,2,6,8.751635047053863,40.37235550586087,40.37235550586087,22.77279729863036,28.541841804723493,21.08112959989751,21.663087152449766,14.864351842240733
0,1,0,0,0,1,0,1,6,24.827690799559374,25.4476571326886,4,6,8.822566994227268,38.89485147505573,38.89485147505573,21.943018109303,28.854392024534185,26.358535365801412,19.944070516590862,12.971277306071055
0,1,0,0,0,1,1,0,7,26.802740751107407,25.4476571326886,3,6,12.038011453515951,49.12253952429844,49.12253952429844,26.76389003276783,27.044284052361977,24.172652691961382,20.140143166088386,13.572935039166437
0,1,0,0,0,1,1,1,8,27.451109898751355,25.4476571326886,3,6,13.434632246790397,52.83914772411114,52.83914772411114,26.692978152249864,26.94016228813495,24.62601305431016,20.148052484386923,13.460305689315085
0,1,0,0,1,0,0,0,4,24.12794018742854,25.4476571326886,4,6,8.412595856094887,39.43910293337302,39.43910293337302,22.52461225903523,25.20633913918719,23.321684317451272,20.08104452979533,14.194857945729202
0,1,0,0,1,0,0,1,5,24.441871345540633,25.4476571326886,4,6,8.120373961695671,39.41456249978722,39.41456249978722,22.692970686627923,24.99600619986228,23.92148450079096,20.459155849555287,15.167048336620118
0,1,0,0,1,0,1,0,6,25.262880895249165,25.4476571326886,4,6,8.92215054402719,41.62848601361828,41.62848601361828,24.377556271708713,26.681793412332127,23.434224708840233,20.01771998961881,15.4375049753768
0,1,0,0,1,0,1,1,7,25.24826406494037,25.4476571326886,3,6,9.632827404285253,43.2259331089339,43.2259331089339,24.291589804230544,26.684984110396552,21.99585636691122,20.054137675520543,15.23708332364944
0,1,0,0,1,1,0,0,6,24.86577417050141,25.4476571326886,3,6,7.83342575208158,37.51507016379168,37.51507016379168,24.065176738935786,27.95885679947619,24.576966344999377,21.35777968792399,13.72079528788143
0,1,0,0,1,1,0,1,7,24.42158566753349,25.4476571326886,3,6,8.391656169068154,38.01787562376741,38.01787562376741,24.077084896688923,28.58121433570063,23.283628266025048,19.123118087682844,13.446592795336073
0,1,0,0,1,1,1,0,8,25.414357591928606,25.4476571326886,4,6,8.444700870378341,40.78742845383096,40.78742845383096,24.476086997007794,27.130991020924615,24.177177219823665,19.309688472669414,16.604773387315195
0,1,0,0,1,1,1,1,9,25.928085698599293,25.4476571326886,3,6,9.426283955482372,43.482301008434526,43.482301008434526,24.44093560247248,27.107235694761172,24.484095354049263,19.697511699915413,16.35643483196294
0,1,0,1,0,0,0,0,4,26.198970878629694,25.4476571326886,4,6,14.973339768141438,54.84205185411574,54.84205185411574,21.580967537823504,29.380151144792173,18.022209488682247,19.94092901108744,13.427516235277073
0,1,0,1,0,0,0,1,5,25.690320558974364,25.4476571326886,4,6,13.794333434972852,51.73484124871807,51.73484124871807,21.360822895082833,29.240027910909088,18.837162200880496,20.041033720522137,12.928035377733558
0,1,0,1,0,0,1,0,6,25.605067266215823,25.4476571326886,3,6,11.1031450297408,45.657962380958736,45.657962380958736,26.17964566823258,27.777805724054684,20.622057126239856,20.279264268494067,13.11366842931499
0,1,0,1,0,0,1,1,7,26.21901882750808,25.4476571326886,3,6,12.431381488447874,49.28288032122117,49.28288032122117,26.187481102879623,27.742013164297845,20.764019778851814,20.29280097288238,13.044917624915648
0,1,0,1,0,1,0,0,6,26.469106973423447,25.4476571326886,3,6,13.309058173658714,51.51233489857252,51.51233489857252,23.974897824329876,29.605024733007003,20.024642784052187,19.660259800593696,14.037481799985374
0,1,0,1,0,1,0,1,7,25.940211036971537,25.4476571326886,2,6,12.373120074933004,49.0004703003783,49.0004703003783,23.229225810494484,29.278174536872744,20.65989352577461,19.729609021877454,13.743893026431643
0,1,0,1,0,1,1,0,8,26.039428761307963,25.4476571326886,3,6,11.069585071962624,45.58987151989605,45.58987151989605,28.04618862562655,28.061306375574784,21.233068300590364,20.046818808559028,13.259318937600998
0,1,0,1,0,1,1,1,9,26.569617086428522,25.4476571326886,3,6,12.196240343621024,48.73761943350337,48.73761943350337,28.01763736317293,28.01133840869383,21.405351556492626,20.058053363931432,13.187702392776954
0,1,0,1,1,0,0,0,5,24.167903984433682,25.4476571326886,4,6,8.599294982046521,40.297673075561605,40.297673075561605,23.015774337883197,24.952623826372864,22.510216599942776,18.75994023258312,15.471195834258515
0,1,0,1,1,0,0,1,6,24.225969365695786,25.4476571326886,4,6,8.645816145451656,40.331758451187,40.331758451187,23.10518568767771,24.80128558752692,23.119731941759678,18.880822701707427,15.117031824315985
0,1,0,1,1,0,1,0,7,25.287053442803167,25.4476571326886,4,6,8.984045193146674,41.187487802369134,41.187487802369134,25.09414164757036,27.62966122278411,23.8621451716522,18.55354548960255,15.395339322840654
0,1,0,1,1,0,1,1,8,25.738828571685943,25.4476571326886,3,6,9.279056189374073,42.44881162051418,42.44881162051418,25.100853296656783,27.615609420349234,24.08526234416274,20.02536494689483,15.157069801537896
0,1,0,1,1,1,0,0,7,25.3544699112381,25.4476571326886,3,6,7.806635577469867,38.00692728686581,38.00692728686581,25.39574267141183,28.84351778213073,24.864267916247204,19.639987493552084,15.376376317220908
0,1,0,1,1,1,0,1,8,25.352734082395642,25.4476571326886,3,6,8.049435669627098,38.33054145641392,38.33054145641392,25.35206806828248,29.657813113790482,23.892560190972432,19.645026213280794,15.238395451633755
0,1,0,1,1,1,1,0,9,25.038064799385143,25.4476571326886,4,6,7.795023187889195,39.012546862264344,39.012546862264344,25.732129944411223,26.572186329280896,22.63511658941005,19.671212176682104,16.605196894262242
0,1,0,1,1,1,1,1,10,25.162232429938083,25.4476571326886,4,6,8.713665648827298,40.67389808135069,40.67389808135069,25.72217143052189,27.832059683140216,21.73170216370113,18.64830959164925,16.365253629265304
0,1,1,0,0,0,0,0,5,23.790261156133838,25.4476571326886,6,6,8.908360164166238,40.52832886174677,40.52832886174677,20.777571892738774,26.953970276489187,18.94133641888093,18.650892529001826,16.889466957945523
0,1,1,0,0,0,0,1,6,24.130878045876724,25.4476571326886,6,6,8.614059196191253,40.385406638514496,40.385406638514496,21.223580021161933,26.557625325776318,20.135972802630207,20.128979371563183,16.3537041156142
0,1,1,0,0,0,1,0,7,24.748847588601468,25.4476571326886,4,6,8.902994380019184,40.70322899908743,40.70322899908743,26.07050917769291,26.223931945489532,21.34496766184927,19.136315193388775,15.014132554100874
0,1,1,0,0,0,1,1,8,25.0347049679409,25.4476571326886,3,6,9.501275920865718,42.3860597127222,42.3860597127222,25.959615418900206,26.225909794984336,21.50332539490106,19.13754720506504,14.995772281072565
0,1,1,0,0,1,0,0,7,24.48287175629218,25.4476571326886,4,6,8.18083523017311,39.0846338762926,39.0846338762926,23.987446500747435,27.862337493289463,20.51573524752628,18.871862469563418,16.575214950333876
0,1,1,0,0,1,0,1,8,24.721172149960825,25.4476571326886,3,6,8.845662091262783,40.47511837907129,40.47511837907129,23.871144109835374,28.48797318660521,21.18977552237832,17.879598466022838,16.423423235851956
0,1,1,0,0,1,1,0,9,24.685030326044146,25.4476571326886,4,6,7.852059362583166,38.222178945573845,38.222178945573845,25.750448231592323,27.084437194163076,22.66956078962641,18.131925569995435,16.251631225313776
0,1,1,0,0,1,1,1,10,25.065398521487325,25.4476571326886,4,6,8.609884635259766,40.371019876171204,40.371019876171204,25.66141661861721,27.068478063090467,23.024668507865766,18.139213338399433,16.12759472477986
0,1,1,0,1,0,0,0,6,24.642818109023224,25.4476571326886,4,6,8.675629659728386,40.285863554031565,40.285863554031565,22.818700091308443,28.04126129658069,22.086343363338965,18.483813634235034,16.140926714644653
