entity,ym,forecast_price,pred_lower_90,pred_upper_90,reference_mape_pct,spike_prob,spike_threshold,lag1_actual,lag12_actual,months_beyond_actual
namwon,2026-11,11033.333370927441,4521.3698623615965,26924.239551248946,28.58,0.06717225081438749,17631.688609436165,False,True,3
namwon,2026-12,9496.839019778201,3390.0468807458833,26604.33750336162,28.58,0.02406954034191766,17631.688609436165,False,True,4
namwon,2027-01,13222.077677789659,4179.468615391558,41829.08264311133,28.58,0.17899237385015565,17631.688609436165,False,True,5
namwon,2027-02,9697.323737001796,2746.2094109457867,34242.86847368716,28.58,0.02810417417884925,17631.688609436165,False,True,6
namwon,2027-03,7967.479742445394,2039.39628944721,31127.21827275881,28.58,0.005591249956983457,17631.688609436165,False,True,7
namwon,2027-04,7684.328510912546,1790.2943144879403,32982.79181572031,28.58,0.003994758322116043,17631.688609436165,False,True,8
namwon,2027-05,7939.277362235229,1693.2493440564253,37225.54227217247,28.58,0.005412952979136687,17631.688609436165,False,True,9
namwon,2027-06,8051.14525103475,1579.4222483280441,41040.91855226049,28.58,0.006147185579250536,17631.688609436165,False,True,10
namwon,2027-07,12942.855230536592,2345.013163587047,71435.63376095741,28.58,0.1617279588384244,17631.688609436165,False,True,11
namwon,2027-08,15349.419514852681,2577.6179366960273,91404.03474416256,28.58,0.32898148505741265,17631.688609436165,False,True,12
namwon,2027-09,20975.46345541786,3274.897780195394,134346.19847686353,28.58,0.7104241310517494,17631.688609436165,False,False,13
namwon,2027-10,16853.698035747624,2453.218702496949,115785.49323427743,28.58,0.44269908891010534,17631.688609436165,False,False,14
namwon,2027-11,11024.946885265477,1499.828823759456,81042.21755003367,28.58,0.06685695513853473,17631.688609436165,False,False,15
namwon,2027-12,9502.57228855621,1210.8614071600841,74574.08384252706,28.58,0.024178873671701018,17631.688609436165,False,False,16
sunchang,2026-09,21171.336265767393,11707.379641940546,38285.72174019825,29.87,0.6028676695120341,19273.523078421724,True,True,1
sunchang,2026-10,16963.339176818416,7339.227715351637,39207.78686644084,29.87,0.3614732754033554,19273.523078421724,False,True,2
sunchang,2026-11,11948.839848817897,4282.4161435084325,33339.771042364926,29.87,0.09216549925650197,19273.523078421724,False,True,3
sunchang,2026-12,10122.4751120072,3095.348700921454,33102.733259972454,29.87,0.03687784282529882,19273.523078421724,False,True,4
sunchang,2027-01,12497.159075100288,3322.7416024732015,47003.048576546986,29.87,0.11449696669831122,19273.523078421724,False,True,5
sunchang,2027-02,10255.616381885315,2402.901995533772,43771.101596272405,29.87,0.03990049157106346,19273.523078421724,False,True,6
sunchang,2027-03,8888.49354260681,1853.9866132122318,42613.747528671585,29.87,0.015813262247465043,19273.523078421724,False,True,7
sunchang,2027-04,8752.72635674229,1638.4054545367694,46759.01100297018,29.87,0.014195554054688198,19273.523078421724,False,True,8
sunchang,2027-05,9309.358611518333,1574.1787845226875,55053.56736473127,29.87,0.02165843308421067,19273.523078421724,False,True,9
sunchang,2027-06,10223.42170342676,1570.2846418062154,66560.13091096362,29.87,0.039155402477376255,19273.523078421724,False,True,10
sunchang,2027-07,15136.837647058575,2121.805195468364,107985.33929635011,29.87,0.25115660894159075,19273.523078421724,False,True,11
sunchang,2027-08,16791.03042128639,2156.7688527580667,130722.7254548038,29.87,0.3509070541291748,19273.523078421724,False,True,12
sunchang,2027-09,20816.17966566018,2458.860563488296,176225.2574657257,29.87,0.5846490506406881,19273.523078421724,False,False,13
sunchang,2027-10,16693.019109543795,1819.069188932574,153186.5245626581,29.87,0.34489936530588516,19273.523078421724,False,False,14
sunchang,2027-11,11819.433213968983,1191.5775445342388,117238.69935303152,29.87,0.0872678249908716,19273.523078421724,False,False,15
sunchang,2027-12,10154.224564407396,949.4945800233688,108592.8015533031,29.87,0.03758461424076098,19273.523078421724,False,False,16
jeonju,2026-09,23722.136456808505,12644.588209329606,44504.395774647266,30.82,0.6677847653075553,20095.32490991558,True,True,1
